Date,OPEN,HIGH,LOW,Close
2018-Q4,"5,858.00","5,941.30","5,594.00","5,667.20"
2018-Q4,"6,197.30","6,199.50","5,624.60","5,830.30"
2018-Q3,"6,319.80","6,333.70","6,102.00","6,207.60"
2018-Q3,"6,285.70","6,373.50","6,230.90","6,319.50"
2018-Q3,"6,195.10","6,306.10","6,174.40","6,280.20"
2018-Q2,"6,007.90","6,250.80","5,972.00","6,194.60"
2018-Q2,"5,988.00","6,146.80","5,964.10","6,011.90"
2018-Q2,"5,748.70","5,991.10","5,724.80","5,982.70"
2018-Q1,"6,005.70","6,026.10","5,752.70","5,759.40"
2018-Q1,"6,043.20","6,121.40","5,786.80","6,016.00"
2018-Q1,"6,062.80","6,150.00","5,991.90","6,037.70"
2017-Q4,"5,976.70","6,092.80","5,938.70","6,065.10"
2017-Q4,"5,912.90","6,052.10","5,912.70","5,969.90"
2017-Q4,"5,686.90","5,938.10","5,650.90","5,909.00"
2017-Q3,"5,718.50","5,777.70","5,639.40","5,681.60"
2017-Q3,"5,724.10","5,806.30","5,645.80","5,714.50"
2017-Q3,"5,720.30","5,799.60","5,653.30","5,720.60"
2017-Q2,"5,720.30","5,836.40","5,629.80","5,721.50"
2017-Q2,"5,922.60","5,956.50","5,679.80","5,724.60"
2017-Q2,"5,861.00","5,950.10","5,790.60","5,924.10"
2017-Q1,"5,706.30","5,901.50","5,675.00","5,864.90"
2017-Q1,"5,627.90","5,833.20","5,582.70","5,712.20"
2017-Q1,"5,667.40","5,827.50","5,604.30","5,620.90"
2016-Q4,"5,456.00","5,699.10","5,383.80","5,665.80"
2016-Q4,"5,313.90","5,520.90","5,052.10","5,440.50"
2016-Q4,"5,441.80","5,498.00","5,261.40","5,317.70"
2016-Q3,"5,422.70","5,473.30","5,192.20","5,435.90"
2016-Q3,"5,564.00","5,611.20","5,412.60","5,433.00"
2016-Q3,"5,240.90","5,570.40","5,148.70","5,562.40"
2016-Q2,"5,366.80","5,392.50","5,051.00","5,233.40"
2016-Q2,"5,246.20","5,427.70","5,182.20","5,378.60"
2016-Q2,"5,075.60","5,281.60","4,893.50","5,252.20"
2016-Q1,"4,880.40","5,216.20","4,868.10","5,082.80"
2016-Q1,"5,013.00","5,073.00","4,706.70","4,880.90"
2016-Q1,"5,292.80","5,331.40","4,803.90","5,005.50"
2015-Q4,"5,168.30","5,325.80","4,909.60","5,295.90"
2015-Q4,"5,242.00","5,313.70","4,979.20","5,166.50"
2015-Q4,"5,021.70","5,384.80","5,021.70","5,239.40"
2015-Q3,"5,207.70","5,221.10","4,918.40","5,021.60"
2015-Q3,"5,698.60","5,727.70","4,928.30","5,207.00"
2015-Q3,"5,455.40","5,718.90","5,383.70","5,699.20"
2015-Q2,"5,766.90","5,768.00","5,390.50","5,459.00"
2015-Q2,"5,795.40","5,901.80","5,574.60","5,777.20"
2015-Q2,"5,883.50","5,996.40","5,749.90","5,790.00"
2015-Q1,"5,930.00","5,996.90","5,748.70","5,891.50"
2015-Q1,"5,594.40","5,955.50","5,591.10","5,928.80"
2015-Q1,"5,406.70","5,619.50","5,267.40","5,588.30"
2014-Q4,"5,308.20","5,486.70","5,142.80","5,411.00"
2014-Q4,"5,525.50","5,550.30","5,292.90","5,313.00"
2014-Q4,"5,283.30","5,526.60","5,122.00","5,526.60"
2014-Q3,"5,629.80","5,672.70","5,253.10","5,292.80"
2014-Q3,"5,620.20","5,679.50","5,425.20","5,625.90"
